carId,commonsFile,flip
acura-nsx-na1,"File:Honda E-NA1 NSX (22022010312).jpg",n
honda-civic-type-r-fl5,"File:HONDA CIVIC TYPE R FL5 China.jpg",y
toyota-gr-supra-3-0,"File:2023 Toyota GR Supra 3.0 in Cu Later, Front Left, 04-23-2023.jpg",y
acura-nsx-type-s,"File:Acura NSX Type S (2022) (53795306497) (cropped).jpg",n
lexus-lfa,"File:2011 Lexus LFA Front.jpg",n
volkswagen-id-4-pro,"File:2020 Volkswagen ID.4 Pro (Netherlands) front view.jpg",n
chevrolet-bolt-ev,"File:2019 Chevrolet Bolt EV - April 2019 (2736).jpg",y
ford-f-150-lightning,"File:2022 Ford F-150 Lightning.jpg",n
volvo-c40-recharge-twin,"File:VOLVO C40 RECHARGE China (2).jpg",n
rivian-r1t,"File:Rivian-r1t-2021.jpg",n
kia-ev6-gt,"File:KIA EV6 GT China.jpg",n
lotus-eletre-r,"File:2024 Lotus Eletre 2.jpg",y
tesla-model-x-plaid,File:Tesla Model X Plaid Shadow Grey 01.jpg,n
lucid-air-sapphire,"File:Lucid, Lucid Air Sapphire, GIMS 2024, Le Grand-Saconnex (GIMS0092-2).jpg",n
toyota-4runner-sr5,"File:23 Toyota 4Runner SR5.jpg",y
toyota-land-cruiser-2024,"File:2024 Toyota Land Cruiser Prado 2.4 Turbo in Avant Garde Bronze, front left.jpg",y
ford-ranger-raptor,"File:Ford Ranger P375 2.0 Bi-Turbo Raptor Blue Lightning.jpg",n
mercedes-amg-g-63,"File:MERCEDES-AMG G 63 (W463) China (3).jpg",n
bmw-x5-m,"File:BMW X5M (F95) Washington DC Metro Area, USA (1).jpg",y
dodge-durango-srt-hellcat,"File:26 Dodge Durango SRT Hellcat Jailbreak.jpg",y
jeep-grand-cherokee-trackhawk,"File:Geiger Jeep Trackhawk, TWB 2018, Friedrichshafen (OW1A0528).jpg",y
aston-martin-dbx707,"File:Aston Martin DBX707, Auto 2024, Zurich (PANA0773).jpg",n
ferrari-purosangue,File:Ferrari Purosangue DSC 7008.jpg,y
lamborghini-urus-se,File:Lamborghini Urus SE 001.jpg,n
delorean-dmc-12,"File:DeLorean DMC-12 Classic-Days 2022 DSC 0050.jpg",y
porsche-911-gt3-992,"File:Porsche 992 GT3 1X7A0323.jpg",n
ferrari-f40,File:1990 Ferrari F40 front.jpg,y
bugatti-chiron,File:Bugatti Chiron LC.jpg,y
cadillac-escalade,"File:2021 Cadillac Escalade ESV 4WD Premium Luxury in Satin Steel Metallic, front right.jpg",n
bmw-m3-competition,File:BMW M3 COMPETITION (G80) China.jpg,n
rolls-royce-phantom,"File:Rolls-Royce Phantom, Geneva International Motor Show 2018, Le Grand-Saconnex (1X7A1220).jpg",y
aston-martin-db5,"File:Aston Martin DB5 Vantage SCD 24.jpg",n
pontiac-firebird-trans-am-1977,"File:1977 Pontiac Firebird Trans Am, front right, 06-21-2023.jpg",n
dodge-charger-rt-1969,"File:1969 Dodge Charger R-T, front right (2022 Ellwood City Fall Fest & Car Cruise).jpg",n
chevrolet-corvette-stingray-c8,"File:2021 Chevrolet Corvette Stingray, front right, 08-30-2026.jpg",n
dodge-charger-srt-hellcat,"File:2015 Dodge Charger SRT Hellcat (21607570552).jpg",y
toyota-corolla-ae86,"File:Toyota Corolla GT-S (AE86, 1986) (54804789331).jpg",n
toyota-supra-turbo-a80,"File:Toyota Supra SZ (A80) front.jpg",y
nissan-skyline-gt-r-r34,"File:Nissan Skyline GT-R R34, 09-21-2025.jpg",n
nissan-350z,"File:Nissan 350Z (Z33) Washington DC Metro Area, USA.jpg",n
tesla-model-y,"File:Tesla Model Y 1X7A6211.jpg",n
tesla-cybertruck-cyberbeast,File:2024 Tesla Cybertruck Foundation Series IMG 0576.jpg,n
gmc-hummer-ev-pickup,"File:GMC Hummer EV Pickup Edition 1 Interstellar White.jpg",n
ford-mustang-mach-e-gt,"File:Ford Mustang Mach-E GT IAA 2021 1X7A0176.jpg",n
ford-bronco-wildtrak,"File:2022 Ford Bronco Wildtrak, front 3.11.23.jpg",n
land-rover-defender-110,"File:Land Rover Defender 110 (L663) 1X7A1919.jpg",y
ford-f-150-xlt,"File:Ford F-150 V8 XLT 2021.jpg",y
range-rover-p530,"File:Range Rover (L460) Washington DC Metro Area, USA (8).jpg",y
ford-mustang-mach-1,"File:Ford Mustang VI Mach I Auto Zuerich 2021 IMG 0117.jpg",n
ford-shelby-gt500-2020,"File:2021 Ford Mustang Shelby GT500 (S550) Front (Bahrain).jpg",y
